"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 23:26:00 GMT 2025","Mon Mar 31 23:26:04 GMT 2025","4080","ParallelTestSuite","test2","tests.CustomerTest","tests.CustomerTest","testAddCustomer","testAddCustomer","Checking the addition of a new client"
"passed","Mon Mar 31 23:26:07 GMT 2025","Mon Mar 31 23:26:08 GMT 2025","1201","ParallelTestSuite","test1","tests.CustomerTest","tests.CustomerTest","testReverseSortFirstNames","testReverseSortFirstNames","Checking sorting in reverse alphabetical order by name"
"passed","Mon Mar 31 23:26:08 GMT 2025","Mon Mar 31 23:26:10 GMT 2025","1282","ParallelTestSuite","test2","tests.CustomerTest","tests.CustomerTest","testSortFirstNames","testSortFirstNames","Checking sorting in alphabetical order by name"
"passed","Mon Mar 31 23:26:05 GMT 2025","Mon Mar 31 23:26:06 GMT 2025","1194","ParallelTestSuite","test1","tests.CustomerTest","tests.CustomerTest","testDeleteAverageLengthNameCustomer","testDeleteAverageLengthNameCustomer","Check for deletion of a client with a name length approximating the arithmetic mean of the lengths of all names"
