"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 23:31:13 GMT 2025","Mon Mar 31 23:31:14 GMT 2025","1160","ParallelTestSuite","test2","tests.CustomerTest","tests.CustomerTest","testDeleteAverageLengthNameCustomer","testDeleteAverageLengthNameCustomer","Check for deletion of a client with a name length approximating the arithmetic mean of the lengths of all names"
"passed","Mon Mar 31 23:31:09 GMT 2025","Mon Mar 31 23:31:12 GMT 2025","2939","ParallelTestSuite","test2","tests.CustomerTest","tests.CustomerTest","testAddCustomer","testAddCustomer","Checking the addition of a new client"
"passed","Mon Mar 31 23:31:14 GMT 2025","Mon Mar 31 23:31:15 GMT 2025","1186","ParallelTestSuite","test2","tests.CustomerTest","tests.CustomerTest","testReverseSortFirstNames","testReverseSortFirstNames","Checking sorting in reverse alphabetical order by name"
"passed","Mon Mar 31 23:31:16 GMT 2025","Mon Mar 31 23:31:17 GMT 2025","1323","ParallelTestSuite","test1","tests.CustomerTest","tests.CustomerTest","testSortFirstNames","testSortFirstNames","Checking sorting in alphabetical order by name"
